file,package,covered_pct,branch_pct,num_statements,missing_lines_count,uncovered_ranges
qml\src\qml\footprint\_coerce.py,qml,58.25,48.82,309,113,"56-57,65,76,82,117,134,144,168,175,184,193,208-209,211-213,217-218,227-231,237,252,255,265,270,278,289-300,310,318,323,326,329,337,354-356,362,365,371,381,390,399,405,413,416,424,432,450,460,468,477,483,493,501,507,517,525,533,541,547,559-560,565-568,574-576,580,586,590-591,596-604,608-609,612,620,624-630,635-638,644"
qmb\src\qmb\orchestrator\spawn.py,qmb,59.84,50.79,758,270,"215,317,326,346-347,367-368,375-376,419,464,471,477,494,522,533-534,536,542,553,573-577,583-587,591-593,603-610,615-618,623-624,632,636,638,649,656,663,665,673,683,687,706,714-716,727-729,750,775,782,789,793,796,801-804,829,834-846,850-851,855,857,873-877,880,896-898,900,906,922-923,937,962,977,980,991,1003-1012,1016-1017,1022-1025,1030-1051,1055-1075,1079-1086,1108-1109,1114-1117,1122-1131,1135-1136,1141-1144,1149-1152,1160-1161,1166-1172,1176-1180,1192,1202-1203,1205,1235,1237,1240,1247,1266,1279,1282-1283,1289,1306,1315,1317,1321-1322,1325,1341-1342,1346-1348,1353-1355,1360,1403,1409,1425-1427,1437,1444-1453,1469-1475,1482-1483"
qmb\src\qmb\data\verify.py,qmb,59.94,47.13,465,155,"204,211,218-225,230-231,238,241,243,252,264,267,270,273,302,311,315,342,352,384-385,394-395,412,489,538-545,551-567,569-570,572-573,578-583,586,592-594,597-599,615,632-653,664-665,676,698,702,709-712,754,773,783-787,793,795,803,805,808-809,815,822,831,834,842-843,854-860,865,869,874-883,891,893,902,904-906,911,913,916,926,928,937"
qml\src\qml\host\runner.py,qml,61.41,50.0,294,100,"137,140,144,148,160,172-175,177,179,191,199,201,213,249,261-266,277-282,290,294-295,301-311,335-336,341-342,358-359,366,379-381,389-393,398-399,404-408,413-416,429,432,435,464,478,485-487,497,499,507,514,535,546,553,558-559,564,566,573,596,598,601,608,612,619-621,625-628"
qmb\src\qmb\data\gap_check.py,qmb,62.83,50.0,410,127,"70-71,77-92,196,203,210-217,222-223,230,233,235,244,253,262,265,301,325,328,332,371-374,378-381,401-407,433,456,460-463,495,533,562-566,575,580-591,596-601,617,626,640,643,651-652,663-669,674,678,683-692,705,711,718,723,725,733-739,746,755"
packages\qmf-data\src\qmf\data\cycle.py,qmf-data,63.32,44.29,159,45,"193,208,218,226,234,239,244,255,267,287,290,338-342,348-351,356,366-368,374-375,381-382,388,392,421,437-442,447-454"
qmb\src\qmb\orchestrator\watch.py,qmb,64.32,36.96,153,42,"105,113-118,133,137-138,142-143,150,237-238,240-243,249-252,290,301,320-323,336-337,346-347,354-357,363-364,366-368"
qml\src\qml\protocol\intents.py,qml,66.47,58.06,108,31,"67,91,93,96,99,111,113,121-122,126,136,140,154-156,162,181,195-206,211,216"
qmb\src\qmb\ledger\__init__.py,qmb,66.67,50.0,29,8,"85-91,93"
qml\src\qml\footprint\template.py,qml,67.13,50.88,245,62,"67,69,80,99-104,110,113,158,160,162,183,187,189,191,193,195,200,210,220,230,240,249,252,255,265,275,285,288,293,296,299,309-312,315-318,321-324,329,420,422,424,426-429,438-443,455"
qmb\src\qmb\runloop\bars.py,qmb,67.91,55.63,608,158,"109,145,163,187,190,200,220,231,239,246,274,287,294,301,308,333,344,360,389,398,411-413,428,446,452,460,467,492,502,510,540,557,585,605,607,621,627,648,654,660,682,697,703,728,731,734,736,746,749,753,761,769,778,785,792,794,804,817,826,840,844,864,866,876-878,885,892,917-918,923-930,934-935,941-943,949-951,957-963,968-979,985-986,991-995,1003-1005,1011-1014,1018-1020,1052,1069,1075,1096,1103,1119,1126,1138,1143,1154,1158,1194-1201,1203-1206,1211,1221,1225,1228,1237,1245,1248,1260,1267,1270,1279,1294"
qmb\src\qmb\execution\fill.py,qmb,68.56,57.58,586,148,"132,139-161,187,189,196,198,205,208,211,214,217,220,222,229,232,235,238,241,244,251,257,263,268,305,321,323,331,339,350,359,382,384,391,394,399,403,406,420,443,445,458,466,473,479,488-489,499,505,521,568,574,589,604,607,628,633,635,652,660,675,677-678,683,686,702,717,719,730-731,733,739,743,758,760,784,791,794,814-816,828-832,846-848,853-856,871,885,892,899,911,914,932,942-946,957,959,969-972,977-983,995,1007,1017,1029,1041,1053,1067-1069"
qmb\src\qmb\execution\spread.py,qmb,68.88,54.79,400,98,"107,166,169,172,192,212,218,221,244,253,289,319,328,348,355,361,368,389,394,396,425,429-433,446,450,464,482,493,499,506,525,543,561,587,590,600,603,643,646,651,654,678,685-693,698,720,740,747,751,753,765,771,774,783,791,797-799,806,815,821,838,851,878,888,899,908,910,912-918,923-924,926,936,938,951,956-958,965,974,976,984"
qmb\src\qmb\data\download.py,qmb,69.0,53.91,301,74,"139,146,149,152,154,164,167,176,212,231,234,243-246,256,291,303,309,314,316-317,362,409-422,441,449,452,454,463,466-478,483,488,491,499-500,511-517,549,552-553,555,563,576-577"
packages\qmf-data\src\qmf\data\verify.py,qmf-data,69.25,55.38,283,69,"219,273,277,279,292,307,316,324,364,370,379,389,393,404,414-419,425-426,446,451,457,459,473,475,492,518,537,540,566,568,570,587-592,597-599,604,606,615,621,634,639,646,655,707,710-713,735-740,747-752"
