subtype,file,line,symbol,vulture_match,never_executed,verdict,direction
unused_variables,qmb/src/qmb/data/generate.py,196,qmb.data.generate._NANOS,no_match,False,SKYLOS_ONLY,
unused_variables,qmb/src/qmb/orchestrator/watch.py,261,qmb.orchestrator.watch._Counters._windows_peak_working_set._fields_,no_match,False,SKYLOS_ONLY,
unused_variables,tools/workspace_meta.py,35,tools.workspace_meta.PACKAGES_DIR,60%,False,TWO_WAY_VULTURE,
unused_variables,tools/workspace_meta.py,36,tools.workspace_meta.EXTENSIONS_DIR,60%,False,TWO_WAY_VULTURE,
unused_parameters,packages/qmf-core/src/qmf/core/sinks.py,115,qmf.core.sinks.ObservationSink.emit.observation,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-core/src/qmf/core/sinks.py,131,qmf.core.sinks.JournalSink.append.event,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-core/src/qmf/core/sinks.py,145,qmf.core.sinks.RecordSink.write.record,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/backup.py,500,qmf.data.backup.OffMachineRestore.discard_local_raw.store,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,307,qmf.data.cycle.OffMachineCycle.own_schedule.args,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,307,qmf.data.cycle.OffMachineCycle.own_schedule.kwargs,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,312,qmf.data.cycle.OffMachineCycle.start_daemon.args,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,312,qmf.data.cycle.OffMachineCycle.start_daemon.kwargs,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,318,qmf.data.cycle.OffMachineCycle.set_recovery_point_objective.args,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,318,qmf.data.cycle.OffMachineCycle.set_recovery_point_objective.kwargs,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,325,qmf.data.cycle.OffMachineCycle.set_recovery_time_objective.args,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,325,qmf.data.cycle.OffMachineCycle.set_recovery_time_objective.kwargs,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/dukascopy.py,286,qmf.data.dukascopy.decode_bi5_ticks.price_scale,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/store/engines/duckdb_views.py,82,qmf.data.store.engines.duckdb_views.DuckDbAnalyticsEngine.materialize.rows,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/store/engines/parquet.py,63,qmf.data.store.engines.parquet.ParquetColumnarEngine.write.rows,no_match,False,SKYLOS_ONLY,
unused_parameters,packages/qmf-data/src/qmf/data/verify.py,160,qmf.data.verify.refuse_snapshot_alone_claim.world,no_match,False,SKYLOS_ONLY,
